tx_id,date,fund_code,amount,shares,type,notes,platform,trade_time_local,cutoff_flag,trade_day_cn,fund_type,expected_nav_date,expected_confirm_date,confirm_date,status,nav_kind,front_load_fee_rate,redemption_penalty_flag
tx001,2025-10-20,000051,6800,3850.17,buy,一次性买入,alipay,2025-10-20 14:00:00,pre15,2025-10-20,domestic,2025-10-20,2025-10-21,2025-10-21,confirmed,净,0.0,false
tx002,2025-10-21,001512,500,331.56,buy,一次性买入,alipay,2025-10-21 14:00:00,pre15,2025-10-21,domestic,2025-10-21,2025-10-22,2025-10-22,confirmed,净,0.0,false
tx003,2025-10-22,018043,100,54.29,buy,每日定投,alipay,2025-10-22 10:00:00,pre15,2025-10-22,QDII,2025-10-23,2025-10-24,2025-10-24,confirmed,净,0.0,false
tx004,2025-10-22,018044,100,54.32,buy,每日定投,alipay,2025-10-22 10:00:00,pre15,2025-10-22,QDII,2025-10-23,2025-10-24,2025-10-24,confirmed,净,0.0,false
tx005,2025-10-22,019305,100,64.07,buy,每日定投,alipay,2025-10-22 10:00:00,pre15,2025-10-22,QDII,2025-10-23,2025-10-24,2025-10-24,confirmed,净,0.0,false
tx006,2025-10-23,018043,100,54.12,buy,每日定投,alipay,2025-10-23 10:00:00,pre15,2025-10-23,QDII,2025-10-24,2025-10-25,2025-10-25,confirmed,净,0.0,false
tx007,2025-10-23,018044,100,54.15,buy,每日定投,alipay,2025-10-23 10:00:00,pre15,2025-10-23,QDII,2025-10-24,2025-10-25,2025-10-25,confirmed,净,0.0,false
tx008,2025-10-23,019305,100,63.98,buy,每日定投,alipay,2025-10-23 10:00:00,pre15,2025-10-23,QDII,2025-10-24,2025-10-25,2025-10-25,confirmed,净,0.0,false
tx009,2025-10-24,018043,100,54.21,buy,每日定投,alipay,2025-10-24 10:00:00,pre15,2025-10-24,QDII,2025-10-25,2025-10-28,2025-10-28,confirmed,净,0.0,false
tx010,2025-10-24,018044,100,54.24,buy,每日定投,alipay,2025-10-24 10:00:00,pre15,2025-10-24,QDII,2025-10-25,2025-10-28,2025-10-28,confirmed,净,0.0,false
tx011,2025-10-24,019305,100,64.11,buy,每日定投,alipay,2025-10-24 10:00:00,pre15,2025-10-24,QDII,2025-10-25,2025-10-28,2025-10-28,confirmed,净,0.0,false

